pickupArea,Percentage
1,0.31
2,0.34
3,0.59
4,0.62
5,0.03
6,0.59
7,0.45
8,10.04
9,0.0
10,0.0
11,0.07
12,0.0
13,0.03
14,0.17
15,0.03
16,0.03
17,0.03
18,0.03
19,1.21
20,0.66
21,0.07
22,0.14
23,0.38
24,0.14
25,1.79
26,0.28
27,0.34
28,11.9
29,1.17
30,0.17
31,0.34
32,11.04
33,2.79
34,0.66
35,1.14
36,0.41
37,0.31
38,1.86
39,1.14
40,0.55
41,1.21
42,2.38
43,1.79
44,1.72
45,0.72
46,1.52
47,0.93
48,0.69
49,2.76
50,0.38
51,0.66
52,0.03
53,4.35
54,0.14
55,0.03
56,1.1
57,0.07
58,0.07
59,0.03
60,0.79
61,0.34
62,0.0
63,0.0
64,0.1
65,0.24
66,0.48
67,0.48
68,0.66
69,2.07
70,0.59
71,1.0
72,0.93
73,1.66
74,1.1
75,5.48
76,2.59
77,0.45
78,8.55
