pickupArea,Percentage
1,0.31
2,0.77
3,1.4
4,1.09
5,1.75
6,10.07
7,2.45
8,18.8
9,0.02
10,0.16
11,0.56
12,0.13
13,0.23
14,1.59
15,0.8
16,4.67
17,0.13
18,0.02
19,0.65
20,0.24
21,5.85
22,3.78
23,0.36
24,3.84
25,0.08
26,0.01
27,0.05
28,5.22
29,0.02
30,0.08
31,0.09
32,14.71
33,0.71
34,0.08
35,0.03
36,0.0
37,0.01
38,0.03
39,0.03
40,0.01
41,0.09
42,0.02
43,0.05
44,0.02
45,0.0
46,0.01
47,0.0
48,0.01
49,0.04
50,0.02
51,0.01
52,0.0
53,0.01
54,0.0
55,0.0
56,1.67
57,0.01
58,0.01
59,0.02
60,0.05
61,0.01
62,0.01
63,0.01
64,0.01
65,0.0
66,0.01
67,0.01
68,0.02
69,0.01
70,0.01
71,0.03
72,0.01
73,0.02
74,0.0
75,0.05
76,16.43
77,0.49
