dropArea,Percentage
1,0.39
2,0.13
3,1.42
4,0.13
5,0.39
6,1.55
7,0.65
8,10.21
9,0.0
10,0.13
11,0.0
12,0.0
13,0.13
14,0.65
15,0.0
16,0.39
17,0.0
18,0.0
19,0.26
20,0.13
21,0.65
22,0.78
23,0.65
24,0.9
25,0.65
26,0.26
27,0.13
28,8.91
29,0.13
30,1.16
31,1.42
32,10.85
33,4.65
34,1.29
35,1.03
36,0.52
37,0.52
38,0.13
39,1.29
40,0.65
41,2.71
42,1.16
43,2.07
44,1.16
45,0.13
46,1.81
47,0.26
48,0.39
49,0.26
50,0.13
51,0.0
52,0.0
53,0.26
54,0.13
55,0.0
56,6.2
57,6.2
58,3.36
59,2.07
60,1.29
61,0.78
62,0.9
63,1.16
64,0.13
65,0.78
66,0.65
67,0.52
68,0.26
69,0.65
70,0.52
71,0.65
72,0.13
73,0.39
74,0.13
75,0.39
76,2.07
77,0.78
78,6.46
