pickupArea,Percentage
1,0.38
2,5.05
3,3.9
4,2.43
5,0.13
6,8.05
7,4.79
8,9.46
9,0.06
10,0.51
11,0.38
12,0.51
13,0.32
14,2.62
15,4.79
16,2.62
17,0.26
18,0.13
19,3.07
20,1.79
21,6.33
22,9.01
23,3.26
24,5.88
25,0.64
26,0.13
27,0.13
28,9.01
29,0.06
30,0.13
31,0.19
32,4.66
33,0.13
34,0.19
35,0.77
36,0.0
37,0.0
38,0.06
39,0.0
40,0.19
41,0.06
42,0.06
43,0.06
44,0.06
45,0.0
46,0.0
47,0.0
48,0.0
49,0.06
50,0.0
51,0.06
52,0.0
53,0.06
54,0.0
55,0.0
56,0.51
57,0.0
58,0.0
59,0.06
60,0.0
61,0.06
62,0.06
63,0.06
64,0.0
65,0.06
66,0.13
67,0.13
68,0.06
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,1.47
76,3.77
77,1.15
