pickupArea,Percentage
1,0.24
2,0.24
3,0.44
4,0.1
5,0.15
6,2.11
7,0.44
8,18.17
9,0.0
10,0.0
11,0.05
12,0.0
13,0.0
14,0.24
15,0.05
16,0.64
17,0.34
18,0.05
19,0.0
20,0.15
21,0.24
22,0.39
23,0.69
24,0.93
25,0.98
26,0.29
27,0.49
28,12.0
29,1.13
30,0.39
31,1.47
32,15.33
33,2.15
34,3.87
35,0.1
36,0.0
37,0.24
38,0.69
39,0.49
40,0.29
41,1.42
42,0.39
43,0.34
44,0.29
45,0.1
46,0.29
47,0.05
48,0.05
49,0.39
50,0.1
51,0.15
52,0.0
53,0.05
54,0.0
55,0.05
56,13.61
57,0.44
58,0.64
59,0.69
60,0.54
61,0.98
62,0.69
63,1.57
64,0.1
65,0.34
66,1.03
67,0.44
68,0.44
69,0.24
70,0.49
71,0.24
72,0.0
73,0.05
74,0.15
75,0.2
76,4.21
77,0.59
78,3.09
