pickupArea,Percentage
1,0.63
2,1.29
3,2.65
4,2.86
5,3.18
6,12.51
7,2.93
8,13.72
9,0.04
10,0.33
11,0.63
12,0.22
13,0.37
14,3.13
15,1.59
16,9.3
17,0.36
18,0.07
19,1.17
20,0.35
21,9.58
22,5.57
23,0.63
24,3.4
25,0.2
26,0.01
27,0.09
28,3.78
29,0.03
30,0.06
31,0.11
32,8.03
33,0.44
34,0.05
35,0.07
36,0.0
37,0.01
38,0.06
39,0.04
40,0.02
41,0.12
42,0.04
43,0.15
44,0.07
45,0.0
46,0.05
47,0.0
48,0.02
49,0.1
50,0.07
51,0.02
52,0.01
53,0.05
54,0.01
55,0.01
56,0.42
57,0.02
58,0.01
59,0.02
60,0.03
61,0.01
62,0.0
63,0.0
64,0.01
65,0.0
66,0.03
67,0.05
68,0.1
69,0.04
70,0.02
71,0.1
72,0.02
73,0.09
74,0.0
75,0.2
76,7.71
77,0.8
