dropArea,Percentage
1,0.14
2,0.04
3,0.66
4,0.21
5,0.34
6,3.57
7,4.98
8,32.72
9,0.0
10,0.02
11,0.01
12,0.01
13,0.02
14,0.07
15,0.03
16,0.11
17,0.01
18,0.0
19,0.02
20,0.01
21,0.13
22,0.61
23,0.05
24,2.94
25,0.02
26,0.0
27,0.02
28,12.15
29,0.02
30,0.01
31,0.15
32,27.77
33,3.72
34,0.18
35,0.1
36,0.01
37,0.0
38,0.02
39,0.06
40,0.01
41,0.38
42,0.02
43,0.02
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.47
57,0.01
58,0.01
59,0.01
60,0.08
61,0.01
62,0.0
63,0.0
64,0.01
65,0.0
66,0.0
67,0.0
68,0.0
69,0.01
70,0.0
71,0.01
72,0.01
73,0.0
74,0.0
75,0.0
76,5.33
77,0.45
78,1.19
