pickupArea,Percentage
1,0.09
2,0.09
3,1.57
4,0.19
5,0.0
6,0.93
7,0.56
8,9.81
9,0.0
10,0.0
11,0.09
12,0.0
13,0.0
14,0.0
15,0.19
16,0.09
17,0.0
18,0.0
19,0.28
20,0.09
21,0.09
22,0.0
23,0.28
24,1.2
25,0.19
26,0.19
27,0.28
28,12.59
29,1.2
30,0.74
31,0.28
32,8.24
33,3.33
34,2.87
35,2.22
36,1.11
37,2.87
38,4.63
39,7.5
40,1.57
41,5.56
42,3.61
43,3.8
44,1.3
45,0.28
46,0.56
47,0.0
48,0.56
49,0.28
50,1.67
51,0.56
52,0.09
53,0.19
54,0.09
55,0.0
56,2.13
57,0.09
58,0.19
59,0.09
60,0.28
61,1.2
62,0.19
63,0.09
64,0.0
65,0.0
66,0.28
67,1.02
68,3.33
69,1.57
70,0.28
71,0.46
72,0.09
73,1.94
74,0.0
75,0.09
76,2.31
77,0.46
