dropArea,Percentage
1,0.23
2,0.21
3,0.92
4,0.39
5,0.96
6,4.35
7,4.56
8,26.52
9,0.0
10,0.07
11,0.02
12,0.05
13,0.04
14,0.17
15,0.08
16,0.21
17,0.03
18,0.01
19,0.04
20,0.03
21,0.27
22,1.31
23,0.08
24,4.05
25,0.09
26,0.02
27,0.02
28,6.08
29,0.06
30,0.3
31,0.46
32,19.53
33,4.95
34,0.4
35,0.35
36,0.08
37,0.01
38,0.19
39,0.68
40,0.07
41,2.37
42,0.16
43,0.09
44,0.08
45,0.01
46,0.03
47,0.01
48,0.02
49,0.03
50,0.01
51,0.04
52,0.01
53,0.03
54,0.0
55,0.01
56,3.1
57,0.24
58,0.27
59,0.09
60,0.4
61,0.11
62,0.12
63,0.1
64,0.56
65,0.18
66,0.12
67,0.07
68,0.04
69,0.06
70,0.35
71,0.13
72,0.36
73,0.07
74,0.13
75,0.09
76,0.81
77,0.7
78,11.11
