pickupArea,Percentage
1,0.0
2,0.0
3,0.25
4,0.25
5,0.0
6,1.52
7,0.25
8,12.18
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,1.27
21,0.25
22,0.25
23,0.51
24,1.02
25,0.0
26,0.0
27,0.0
28,13.45
29,0.51
30,0.51
31,0.51
32,7.61
33,1.02
34,0.76
35,0.76
36,0.0
37,0.25
38,1.27
39,0.51
40,0.25
41,3.81
42,0.51
43,1.52
44,0.0
45,0.25
46,0.0
47,0.0
48,0.0
49,0.25
50,0.0
51,0.0
52,0.0
53,0.25
54,0.0
55,0.0
56,24.11
57,0.51
58,0.76
59,0.51
60,1.27
61,0.76
62,1.02
63,0.76
64,0.0
65,0.76
66,1.27
67,0.51
68,0.25
69,1.27
70,0.51
71,0.76
72,0.0
73,0.25
74,0.0
75,0.25
76,7.61
77,0.0
78,5.08
