dropArea,Percentage
1,1.35
2,0.25
3,0.68
4,0.08
5,0.17
6,0.84
7,0.76
8,15.37
9,0.08
10,0.17
11,0.25
12,0.08
13,0.17
14,0.17
15,0.34
16,0.68
17,0.08
18,0.17
19,0.25
20,0.17
21,0.34
22,0.93
23,0.84
24,0.76
25,0.84
26,0.34
27,0.34
28,6.93
29,0.76
30,2.45
31,1.18
32,6.0
33,3.12
34,0.93
35,1.01
36,0.51
37,0.25
38,0.51
39,0.34
40,0.51
41,0.68
42,0.42
43,0.42
44,0.51
45,0.25
46,0.0
47,0.0
48,0.08
49,0.93
50,0.08
51,0.08
52,0.0
53,0.34
54,0.0
55,0.0
56,4.65
57,1.35
58,8.7
59,10.47
60,1.44
61,1.52
62,0.51
63,1.1
64,0.51
65,0.68
66,1.27
67,0.68
68,0.84
69,0.76
70,0.68
71,0.17
72,0.08
73,0.51
74,0.59
75,0.17
76,2.2
77,0.51
78,5.83
