dropArea,Percentage
1,0.07
2,0.15
3,0.44
4,0.18
5,0.15
6,0.7
7,0.26
8,5.02
9,0.0
10,0.15
11,0.18
12,0.07
13,0.0
14,0.11
15,0.04
16,0.26
17,0.0
18,0.04
19,0.04
20,0.88
21,0.7
22,0.4
23,0.18
24,0.99
25,0.84
26,0.59
27,0.44
28,7.88
29,0.73
30,0.51
31,1.58
32,6.37
33,5.38
34,3.37
35,1.83
36,0.29
37,2.31
38,1.79
39,1.03
40,0.7
41,1.39
42,2.6
43,1.17
44,2.97
45,0.33
46,1.39
47,0.33
48,0.66
49,2.6
50,0.62
51,0.73
52,0.15
53,1.94
54,0.04
55,0.04
56,0.88
57,0.0
58,0.15
59,0.11
60,0.48
61,0.29
62,0.04
63,0.15
64,0.07
65,0.26
66,0.33
67,0.33
68,1.79
69,3.7
70,0.55
71,0.88
72,1.47
73,4.07
74,2.2
75,6.15
76,1.65
77,0.7
78,10.18
