dropArea,Percentage
1,0.21
2,0.1
3,0.67
4,0.16
5,0.05
6,1.19
7,0.62
8,3.0
9,0.05
10,0.1
11,0.0
12,0.0
13,0.1
14,0.0
15,0.31
16,0.16
17,0.21
18,0.0
19,0.31
20,0.05
21,0.1
22,0.31
23,0.88
24,0.41
25,0.98
26,0.67
27,1.14
28,10.87
29,1.4
30,1.97
31,2.23
32,9.83
33,4.24
34,3.16
35,1.97
36,0.41
37,1.81
38,0.41
39,0.57
40,0.36
41,1.14
42,0.88
43,1.6
44,2.33
45,0.88
46,1.92
47,0.1
48,3.05
49,5.02
50,1.66
51,7.82
52,0.36
53,0.47
54,0.1
55,0.1
56,0.57
57,0.0
58,0.0
59,0.16
60,0.62
61,0.47
62,0.1
63,0.05
64,0.1
65,0.31
66,0.98
67,0.93
68,1.04
69,1.92
70,2.48
71,1.4
72,0.72
73,0.98
74,0.05
75,0.98
76,0.26
77,0.72
78,6.68
