pickupArea,Percentage
1,0.51
2,0.2
3,0.82
4,0.44
5,0.11
6,1.57
7,1.35
8,12.29
9,0.0
10,0.02
11,0.07
12,0.0
13,0.02
14,1.02
15,0.26
16,0.53
17,0.06
18,0.22
19,0.15
20,0.15
21,0.23
22,0.48
23,2.02
24,2.68
25,1.81
26,0.78
27,1.42
28,21.7
29,2.79
30,1.11
31,0.8
32,19.96
33,2.8
34,0.32
35,0.88
36,0.1
37,0.13
38,0.21
39,0.23
40,0.27
41,2.04
42,0.33
43,1.0
44,0.83
45,0.11
46,0.5
47,0.01
48,0.21
49,0.29
50,0.17
51,0.34
52,0.01
53,0.8
54,0.05
55,0.02
56,2.52
57,0.01
58,0.11
59,0.06
60,0.13
61,0.16
62,0.1
63,0.0
64,0.13
65,0.1
66,0.16
67,0.2
68,0.6
69,0.4
70,0.43
71,0.51
72,0.06
73,0.29
74,0.07
75,0.24
76,3.11
77,0.26
78,3.07
