pickupArea,Percentage
1,0.19
2,0.0
3,1.65
4,0.0
5,0.06
6,0.51
7,0.44
8,8.81
9,0.0
10,0.0
11,0.0
12,0.06
13,0.0
14,0.0
15,0.06
16,0.0
17,0.0
18,0.06
19,0.0
20,0.06
21,0.13
22,0.0
23,0.0
24,0.44
25,0.25
26,0.19
27,0.38
28,15.79
29,0.06
30,0.13
31,0.44
32,11.67
33,4.19
34,1.01
35,3.49
36,1.01
37,0.32
38,3.36
39,4.12
40,1.14
41,9.13
42,1.78
43,4.12
44,4.5
45,0.63
46,0.7
47,0.06
48,1.71
49,1.08
50,0.06
51,0.32
52,0.06
53,0.44
54,0.06
55,0.19
56,3.93
57,0.0
58,0.0
59,0.0
60,0.32
61,2.09
62,0.13
63,0.06
64,0.0
65,0.13
66,0.13
67,0.25
68,1.01
69,1.78
70,0.32
71,0.44
72,0.0
73,0.82
74,0.0
75,0.25
76,1.9
77,0.19
78,1.33
