pickupArea,Percentage
1,3.07
2,7.99
3,4.34
4,8.0
5,0.98
6,3.61
7,1.33
8,6.86
9,0.03
10,0.32
11,2.38
12,0.81
13,6.6
14,8.55
15,0.44
16,4.04
17,0.08
18,0.01
19,0.16
20,0.4
21,0.83
22,0.38
23,0.06
24,0.38
25,0.12
26,0.01
27,0.04
28,2.37
29,0.03
30,0.01
31,0.03
32,5.24
33,0.39
34,0.04
35,0.06
36,0.01
37,0.01
38,0.11
39,0.03
40,0.01
41,0.14
42,0.03
43,0.05
44,0.01
45,0.0
46,0.03
47,0.0
48,0.0
49,0.04
50,0.0
51,0.01
52,0.0
53,0.04
54,0.0
55,0.0
56,0.89
57,0.01
58,0.01
59,0.01
60,0.05
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.01
67,0.02
68,0.0
69,0.02
70,0.01
71,0.03
72,0.0
73,0.01
74,0.0
75,0.0
76,18.42
77,5.76
78,4.24
