dropArea,Percentage
1,0.56
2,1.85
3,2.59
4,2.43
5,3.14
6,8.54
7,2.52
8,6.9
9,0.06
10,0.43
11,0.94
12,0.33
13,0.86
14,3.73
15,2.65
16,8.85
17,0.46
18,0.16
19,3.21
20,2.13
21,14.11
22,6.44
23,1.45
24,4.54
25,0.47
26,0.13
27,0.19
28,3.38
29,0.12
30,0.58
31,0.27
32,3.14
33,0.39
34,0.14
35,0.07
36,0.05
37,0.03
38,0.07
39,0.08
40,0.03
41,0.11
42,0.03
43,0.09
44,0.05
45,0.01
46,0.04
47,0.0
48,0.0
49,0.03
50,0.0
51,0.01
52,0.0
53,0.01
54,0.01
55,0.01
56,0.63
57,0.01
58,0.1
59,0.08
60,0.09
61,0.08
62,0.0
63,0.03
64,0.03
65,0.01
66,0.04
67,0.02
68,0.09
69,0.05
70,0.01
71,0.01
72,0.01
73,0.04
74,0.0
75,0.02
76,5.73
77,0.82
78,3.74
