dropArea,Percentage
1,0.43
2,0.31
3,1.76
4,0.67
5,0.98
6,10.64
7,14.8
8,32.19
9,0.02
10,0.07
11,0.09
12,0.05
13,0.08
14,0.24
15,0.17
16,0.5
17,0.02
18,0.01
19,0.16
20,0.11
21,0.37
22,2.05
23,0.16
24,3.48
25,0.12
26,0.01
27,0.05
28,4.97
29,0.04
30,0.03
31,0.14
32,15.91
33,0.93
34,0.08
35,0.09
36,0.02
37,0.02
38,0.05
39,0.07
40,0.03
41,0.21
42,0.06
43,0.07
44,0.02
45,0.01
46,0.02
47,0.01
48,0.01
49,0.02
50,0.01
51,0.0
52,0.0
53,0.01
54,0.0
55,0.0
56,0.96
57,0.01
58,0.01
59,0.02
60,0.06
61,0.05
62,0.0
63,0.0
64,0.02
65,0.0
66,0.0
67,0.01
68,0.03
69,0.03
70,0.01
71,0.01
72,0.01
73,0.02
74,0.0
75,0.01
76,3.96
77,1.07
78,1.35
