dropArea,Percentage
1,0.39
2,0.26
3,1.07
4,0.71
5,1.25
6,3.78
7,4.84
8,24.41
9,0.03
10,0.18
11,0.34
12,0.05
13,0.05
14,0.62
15,0.47
16,0.84
17,0.11
18,0.02
19,0.36
20,0.33
21,1.28
22,5.82
23,2.2
24,21.43
25,0.54
26,0.12
27,0.35
28,9.59
29,0.2
30,0.14
31,0.74
32,9.51
33,1.04
34,0.22
35,0.11
36,0.02
37,0.05
38,0.05
39,0.06
40,0.03
41,0.17
42,0.06
43,0.08
44,0.07
45,0.01
46,0.03
47,0.01
48,0.01
49,0.11
50,0.02
51,0.02
52,0.01
53,0.02
54,0.0
55,0.0
56,0.73
57,0.01
58,0.07
59,0.09
60,0.19
61,0.14
62,0.02
63,0.02
64,0.03
65,0.01
66,0.02
67,0.03
68,0.07
69,0.11
70,0.03
71,0.03
72,0.02
73,0.03
74,0.0
75,0.01
76,3.41
77,0.66
