pickupArea,Percentage
1,0.26
2,0.4
3,0.81
4,0.21
5,0.16
6,1.02
7,0.91
8,13.41
9,0.02
10,0.07
11,0.05
12,0.0
13,0.09
14,0.07
15,0.09
16,0.11
17,0.11
18,0.02
19,0.05
20,0.02
21,0.12
22,0.16
23,0.18
24,0.39
25,0.33
26,0.16
27,0.12
28,9.96
29,0.48
30,0.14
31,0.14
32,16.64
33,6.62
34,1.39
35,5.82
36,3.62
37,0.16
38,3.92
39,3.2
40,0.81
41,4.1
42,1.37
43,1.99
44,1.13
45,0.12
46,1.07
47,0.02
48,0.4
49,0.19
50,0.11
51,0.21
52,0.09
53,0.19
54,0.05
55,0.0
56,4.35
57,0.07
58,0.11
59,0.07
60,0.48
61,0.88
62,0.05
63,0.0
64,0.04
65,0.12
66,0.11
67,0.16
68,0.35
69,0.6
70,0.14
71,0.67
72,0.05
73,0.49
74,0.0
75,0.14
76,5.17
77,0.25
78,2.43
