pickupArea,Percentage
1,0.01
2,0.0
3,0.03
4,0.01
5,0.0
6,0.34
7,0.39
8,30.03
9,0.0
10,0.0
11,0.06
12,0.0
13,0.01
14,0.01
15,0.0
16,0.01
17,0.0
18,0.0
19,0.0
20,0.01
21,0.0
22,0.11
23,0.02
24,0.81
25,0.05
26,0.02
27,0.04
28,11.69
29,0.01
30,0.01
31,0.0
32,46.33
33,2.25
34,0.05
35,0.04
36,0.0
37,0.0
38,0.02
39,0.03
40,0.0
41,1.07
42,0.0
43,0.02
44,0.06
45,0.11
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.6
57,0.0
58,0.0
59,0.0
60,0.0
61,0.01
62,0.0
63,0.0
64,0.0
65,0.0
66,0.07
67,0.0
68,0.01
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.01
75,0.0
76,3.95
77,0.01
78,1.71
