dropArea,Percentage
1,0.65
2,0.34
3,1.22
4,0.38
5,0.04
6,1.19
7,0.73
8,7.92
9,0.0
10,0.08
11,0.08
12,0.0
13,0.08
14,0.0
15,0.19
16,0.27
17,0.0
18,0.04
19,0.04
20,0.0
21,0.15
22,0.15
23,0.31
24,0.27
25,1.72
26,0.92
27,0.99
28,8.72
29,0.31
30,0.19
31,0.19
32,7.92
33,3.67
34,0.46
35,2.26
36,1.76
37,0.65
38,4.47
39,5.05
40,0.84
41,11.01
42,2.79
43,2.33
44,1.8
45,0.38
46,0.61
47,0.34
48,0.42
49,1.8
50,0.27
51,0.15
52,0.04
53,1.22
54,0.19
55,0.0
56,1.99
57,0.04
58,0.08
59,0.0
60,0.23
61,0.34
62,0.04
63,0.19
64,0.11
65,0.11
66,0.19
67,0.15
68,0.88
69,1.8
70,0.5
71,0.57
72,0.5
73,1.15
74,0.08
75,1.26
76,2.56
77,1.49
78,8.15
