pickupArea,Percentage
1,0.41
2,0.1
3,0.15
4,0.15
5,0.1
6,1.49
7,0.31
8,13.03
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.05
15,0.05
16,0.05
17,0.0
18,0.0
19,0.0
20,0.41
21,0.05
22,0.21
23,0.15
24,0.67
25,0.31
26,0.21
27,0.0
28,9.42
29,0.57
30,0.21
31,0.36
32,7.21
33,3.4
34,0.57
35,0.62
36,0.21
37,0.21
38,1.03
39,0.36
40,0.41
41,1.39
42,0.41
43,1.13
44,0.51
45,0.21
46,0.26
47,0.05
48,0.15
49,0.51
50,0.21
51,0.31
52,0.0
53,1.24
54,0.05
55,0.1
56,31.15
57,0.31
58,0.41
59,0.31
60,0.26
61,0.21
62,0.62
63,0.46
64,0.31
65,2.16
66,1.18
67,0.82
68,0.36
69,0.98
70,1.24
71,0.62
72,0.26
73,0.46
74,0.1
75,0.36
76,8.24
77,0.15
