pickupArea,Percentage
1,1.88
2,0.38
3,3.01
4,0.77
5,0.16
6,3.08
7,1.52
8,16.54
9,0.0
10,0.1
11,0.05
12,0.03
13,0.13
14,0.13
15,0.18
16,0.23
17,0.39
18,0.07
19,0.05
20,0.0
21,0.13
22,0.2
23,1.21
24,1.11
25,1.54
26,0.51
27,0.84
28,14.74
29,1.98
30,0.44
31,0.52
32,13.9
33,3.46
34,0.46
35,1.57
36,0.43
37,0.05
38,0.57
39,1.0
40,0.18
41,3.44
42,1.6
43,5.29
44,1.62
45,0.77
46,2.03
47,0.33
48,1.02
49,0.46
50,0.38
51,0.51
52,0.18
53,0.67
54,0.07
55,0.1
56,1.29
57,0.2
58,0.07
59,0.0
60,0.2
61,0.41
62,0.05
63,0.0
64,0.03
65,0.08
66,0.28
67,0.28
68,0.2
69,1.39
70,0.7
71,0.44
72,0.13
73,0.23
74,0.0
75,0.36
76,1.11
77,0.56
