dropArea,Percentage
1,0.7
2,0.63
3,1.26
4,0.96
5,1.75
6,6.08
7,5.68
8,31.66
9,0.26
10,0.93
11,0.56
12,0.44
13,0.12
14,0.47
15,0.51
16,1.07
17,0.47
18,0.0
19,0.12
20,0.0
21,0.68
22,1.98
23,0.16
24,4.03
25,0.07
26,0.0
27,0.07
28,6.22
29,0.02
30,0.02
31,0.26
32,21.2
33,3.07
34,0.19
35,0.09
36,0.02
37,0.0
38,0.07
39,0.23
40,0.0
41,0.7
42,0.0
43,0.0
44,0.02
45,0.0
46,0.02
47,0.0
48,0.0
49,0.0
50,0.0
51,0.02
52,0.0
53,0.0
54,0.0
55,0.0
56,0.44
57,0.0
58,0.05
59,0.02
60,0.19
61,0.0
62,0.02
63,0.02
64,0.02
65,0.02
66,0.0
67,0.0
68,0.02
69,0.07
70,0.09
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,4.73
77,1.49
