pickupArea,Percentage
1,0.0
2,0.0
3,0.56
4,0.09
5,0.0
6,1.32
7,0.19
8,7.25
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.28
16,0.19
17,0.0
18,0.0
19,0.09
20,0.09
21,0.0
22,0.19
23,0.09
24,0.28
25,0.28
26,0.0
27,0.19
28,8.29
29,0.09
30,0.0
31,0.19
32,4.61
33,1.04
34,0.38
35,0.0
36,0.09
37,0.0
38,0.19
39,0.19
40,0.0
41,0.85
42,1.69
43,0.75
44,0.19
45,0.28
46,0.47
47,0.28
48,0.28
49,0.94
50,0.09
51,0.09
52,0.0
53,0.94
54,0.0
55,0.0
56,43.41
57,0.09
58,0.66
59,0.09
60,0.09
61,0.47
62,0.0
63,0.09
64,0.28
65,0.85
66,0.56
67,0.19
68,0.0
69,0.66
70,0.47
71,0.47
72,0.85
73,0.75
74,1.51
75,5.65
76,9.79
77,0.0
