dropArea,Percentage
1,1.38
2,0.1
3,1.03
4,0.53
5,0.48
6,1.31
7,0.98
8,4.69
9,0.0
10,0.08
11,0.05
12,0.18
13,0.13
14,1.41
15,0.5
16,0.8
17,0.18
18,0.25
19,0.35
20,0.15
21,0.18
22,0.98
23,2.13
24,2.06
25,2.18
26,1.41
27,2.41
28,14.03
29,5.72
30,2.91
31,2.18
32,3.66
33,1.63
34,2.08
35,1.26
36,0.68
37,1.26
38,0.43
39,0.58
40,0.45
41,1.63
42,1.88
43,3.19
44,3.82
45,0.4
46,1.15
47,0.13
48,0.3
49,1.86
50,0.98
51,0.83
52,0.08
53,2.28
54,0.6
55,0.1
56,1.08
57,0.23
58,1.08
59,0.85
60,0.6
61,0.73
62,0.23
63,0.58
64,0.13
65,0.28
66,0.58
67,1.05
68,2.03
69,2.56
70,0.68
71,1.2
72,0.03
73,1.63
74,0.03
75,0.85
76,0.88
77,0.7
