pickupArea,Percentage
1,0.52
2,0.05
3,0.42
4,0.21
5,0.05
6,1.62
7,0.78
8,14.32
9,0.0
10,0.0
11,0.1
12,0.0
13,0.0
14,0.31
15,0.1
16,0.26
17,0.0
18,0.0
19,0.1
20,0.16
21,0.05
22,0.47
23,0.26
24,0.63
25,0.05
26,0.1
27,0.05
28,10.92
29,0.47
30,0.84
31,0.47
32,16.41
33,2.46
34,0.31
35,0.31
36,0.16
37,0.05
38,0.26
39,0.52
40,0.1
41,0.57
42,0.31
43,0.52
44,0.16
45,0.0
46,0.57
47,0.16
48,0.05
49,0.1
50,0.0
51,0.05
52,0.0
53,0.0
54,0.0
55,0.05
56,27.59
57,2.51
58,0.84
59,0.37
60,0.31
61,0.26
62,1.1
63,0.16
64,0.68
65,1.1
66,0.16
67,0.1
68,0.05
69,0.16
70,0.57
71,0.1
72,0.05
73,0.26
74,0.0
75,0.0
76,7.11
77,0.05
